2021-03-18 21:49:29 startup archives install
2021-03-18 21:49:30 install base-passwd:armhf <none> 3.5.46
2021-03-18 21:49:30 status half-installed base-passwd:armhf 3.5.46
2021-03-18 21:49:30 status unpacked base-passwd:armhf 3.5.46
2021-03-18 21:49:31 configure base-passwd:armhf 3.5.46 3.5.46
2021-03-18 21:49:31 status half-configured base-passwd:armhf 3.5.46
2021-03-18 21:49:33 status installed base-passwd:armhf 3.5.46
2021-03-18 21:49:34 startup archives install
2021-03-18 21:49:34 install base-files:armhf <none> 10.3+deb10u8
2021-03-18 21:49:34 status half-installed base-files:armhf 10.3+deb10u8
2021-03-18 21:49:35 status unpacked base-files:armhf 10.3+deb10u8
2021-03-18 21:49:35 configure base-files:armhf 10.3+deb10u8 10.3+deb10u8
2021-03-18 21:49:36 status half-configured base-files:armhf 10.3+deb10u8
2021-03-18 21:49:37 status installed base-files:armhf 10.3+deb10u8
2021-03-18 21:49:37 startup archives install
2021-03-18 21:49:38 upgrade dpkg 1.19.7 1.19.7
2021-03-18 21:49:38 status half-configured dpkg 1.19.7
2021-03-18 21:49:38 status unpacked dpkg 1.19.7
2021-03-18 21:49:38 status half-installed dpkg 1.19.7
2021-03-18 21:49:40 status unpacked dpkg:armhf 1.19.7
2021-03-18 21:49:40 configure dpkg:armhf 1.19.7 1.19.7
2021-03-18 21:49:41 status half-configured dpkg:armhf 1.19.7
2021-03-18 21:49:41 status installed dpkg:armhf 1.19.7
2021-03-18 21:49:42 startup archives install
2021-03-18 21:49:43 install libc6:armhf <none> 2.28-10
2021-03-18 21:49:43 status half-installed libc6:armhf 2.28-10
2021-03-18 21:49:48 status unpacked libc6:armhf 2.28-10
2021-03-18 21:49:48 configure libc6:armhf 2.28-10 2.28-10
2021-03-18 21:49:49 status half-configured libc6:armhf 2.28-10
2021-03-18 21:49:51 status installed libc6:armhf 2.28-10
2021-03-18 21:49:51 startup archives install
2021-03-18 21:49:51 install perl-base:armhf <none> 5.28.1-6+deb10u1
2021-03-18 21:49:51 status half-installed perl-base:armhf 5.28.1-6+deb10u1
2021-03-18 21:49:54 status unpacked perl-base:armhf 5.28.1-6+deb10u1
2021-03-18 21:49:55 configure perl-base:armhf 5.28.1-6+deb10u1 5.28.1-6+deb10u1
2021-03-18 21:49:55 status half-configured perl-base:armhf 5.28.1-6+deb10u1
2021-03-18 21:49:55 status installed perl-base:armhf 5.28.1-6+deb10u1
2021-03-18 21:49:55 startup archives install
2021-03-18 21:49:56 install mawk:armhf <none> 1.3.3-17+b3
2021-03-18 21:49:56 status half-installed mawk:armhf 1.3.3-17+b3
